Entity,Year,Gold_true,Gold_trend,Gold_trend_std,Total_true,Total_trend,Total_trend_std,Split
Latvia,1988,0.0,0.6206924676895141,0.16948130963684352,0.0,2.2302955627441405,0.8996627944026236,train
Latvia,1992,0.0,0.6206924676895141,0.16948130963684352,3.0,2.2302955627441405,0.8996627944026236,train
Latvia,1996,0.0,0.763663935661316,0.20103772114811516,1.0,2.7169331550598144,1.0173560760256037,train
Latvia,2000,1.0,0.7708062410354615,0.18789807360461028,3.0,2.744453525543213,0.9750842235358924,train
Latvia,2004,0.0,1.004361891746521,0.18981658979906837,4.0,3.5135817527770996,1.0386530012462873,train
Latvia,2008,1.0,1.0287968158721923,0.19589784211097147,3.0,3.597280216217041,1.0512886846295053,train
Latvia,2012,1.0,1.1820574045181274,0.17435054436767175,2.0,4.093781566619873,1.0151578098064507,train
Latvia,2016,0.0,1.1404243230819702,0.1595020052609003,0.0,3.9563654899597167,0.9746189413074319,train
Latvia,2020,1.0,0.8914107084274292,0.11970653564825315,2.0,3.142001819610596,0.8086547037819343,val
Latvia,2024,0.0,0.9391484975814819,0.14409041621711977,0.0,3.2927953720092775,0.9157555760496773,val
Lithuania,1964,0.0,0.6206924676895141,0.16948130963684352,0.0,2.2302955627441405,0.8996627944026236,train
Lithuania,1968,0.0,0.6206924676895141,0.16948130963684352,0.0,2.2302955627441405,0.8996627944026236,train
Lithuania,1972,0.0,0.6206924676895141,0.16948130963684352,0.0,2.2302955627441405,0.8996627944026236,train
Lithuania,1976,0.0,0.6206924676895141,0.16948130963684352,0.0,2.2302955627441405,0.8996627944026236,train
Lithuania,1980,0.0,0.6206924676895141,0.16948130963684352,0.0,2.2302955627441405,0.8996627944026236,train
Lithuania,1984,0.0,0.6206924676895141,0.16948130963684352,0.0,2.2302955627441405,0.8996627944026236,train
Lithuania,1988,0.0,0.6206924676895141,0.16948130963684352,0.0,2.2302955627441405,0.8996627944026236,train
Lithuania,1992,1.0,0.6206924676895141,0.16948130963684352,2.0,2.2302955627441405,0.8996627944026236,train
Lithuania,1996,0.0,0.8339934349060059,0.17544591933278264,1.0,2.944828987121582,0.986896445605969,train
Lithuania,2000,2.0,0.8079472541809082,0.1579017361605035,5.0,2.863251781463623,0.9147278907890198,train
Lithuania,2004,1.0,1.2850829124450684,0.1808613572357132,3.0,4.409916400909424,1.080795712972487,train
Lithuania,2008,0.0,1.2794487953186036,0.15753851717383874,5.0,4.399905014038086,1.0101822576085413,train
Lithuania,2012,2.0,1.3297895431518554,0.15051407963640095,5.0,4.575054454803467,0.9491352981868117,train
Lithuania,2016,0.0,1.4894810438156127,0.20576750657911097,4.0,5.076149272918701,1.168203511301665,train
Lithuania,2020,0.0,1.3219427347183228,0.18187559573347842,1.0,4.557754135131836,1.0466164622285605,val
Lithuania,2024,0.0,1.0585167407989502,0.1332550136673767,4.0,3.698961925506592,0.838102731052613,val
Malaysia,1964,0.0,0.6206924676895141,0.16948130963684352,0.0,2.2302955627441405,0.8996627944026236,train
Malaysia,1968,0.0,0.6206924676895141,0.16948130963684352,0.0,2.2302955627441405,0.8996627944026236,train
Malaysia,1972,0.0,0.6206924676895141,0.16948130963684352,0.0,2.2302955627441405,0.8996627944026236,train
Malaysia,1976,0.0,0.6206924676895141,0.16948130963684352,0.0,2.2302955627441405,0.8996627944026236,train
Malaysia,1980,0.0,0.6206924676895141,0.16948130963684352,0.0,2.2302955627441405,0.8996627944026236,train
Malaysia,1984,0.0,0.6206924676895141,0.16948130963684352,0.0,2.2302955627441405,0.8996627944026236,train
Malaysia,1988,0.0,0.6206924676895141,0.16948130963684352,0.0,2.2302955627441405,0.8996627944026236,train
Malaysia,1992,0.0,0.6206924676895141,0.16948130963684352,1.0,2.2302955627441405,0.8996627944026236,train
Malaysia,1996,0.0,0.6676949024200439,0.1798028624525253,2.0,2.3903839111328127,0.9376466183522708,train
Malaysia,2000,0.0,0.7494386434555054,0.1928535356523141,0.0,2.669665050506592,0.9892643291759153,train
Malaysia,2004,0.0,0.713201355934143,0.17341279435786572,0.0,2.548324203491211,0.920553013632322,train
Malaysia,2008,0.0,0.6697348594665528,0.16685500053196517,1.0,2.3993156433105467,0.8946617205006075,train
Malaysia,2012,0.0,0.6676949024200439,0.1798028624525253,2.0,2.3903839111328127,0.9376466183522708,train
Malaysia,2016,0.0,0.7494386434555054,0.1928535356523141,5.0,2.669665050506592,0.9892643291759153,train
Malaysia,2020,0.0,0.9649189233779907,0.2326424600380495,2.0,3.3909082412719727,1.1365209808737995,val
Malaysia,2024,0.0,0.9480523586273193,0.20565628472426664,2.0,3.3417357444763183,1.046969297996923,val
Mexico,1964,0.0,1.8808285236358642,1.2146150100732198,1.0,5.743737411499024,3.315336568649428,train
Mexico,1968,3.0,2.5924733161926268,1.8839309266520001,9.0,7.517718029022217,4.684277662300329,train
Mexico,1972,0.0,3.3500563621521,0.7361043563676208,1.0,10.930075073242188,1.987914931525662,train
Mexico,1976,1.0,2.2106662511825563,0.3910476756044458,2.0,7.8484721183776855,1.2761550101164305,train
Mexico,1980,0.0,1.8942827701568603,0.37358098323435107,4.0,6.943732738494873,1.2381214368091598,train
Mexico,1984,2.0,1.3683829307556152,0.14101192564788323,6.0,5.502592754364014,0.37407142836033946,train
Mexico,1988,0.0,1.8569922685623168,0.13482298509464616,2.0,6.911995792388916,0.5694520900854837,train
Mexico,1992,0.0,1.6048304319381714,0.10927583114679942,1.0,6.1846307754516605,0.39472389743859987,train
Mexico,1996,0.0,1.392047905921936,0.10792627797992548,1.0,5.562601566314697,0.3729431009824674,train
Mexico,2000,1.0,1.119607400894165,0.1358114644093647,6.0,4.761077499389648,0.31521316713529557,train
Mexico,2004,0.0,1.4921853303909303,0.1655183547846367,4.0,5.919164085388184,0.4583177319929958,train
Mexico,2008,2.0,1.5260672569274902,0.15269328969696666,4.0,6.099173545837402,0.40389530290972886,train
Mexico,2012,1.0,1.8672567367553712,0.10761114748008695,8.0,7.051626873016358,0.44204266849417434,train
Mexico,2016,0.0,2.0225902557373048,0.13010408992317482,5.0,7.534785461425781,0.5665818481330415,train
Mexico,2020,0.0,1.907994270324707,0.10898323840970356,4.0,7.226479530334473,0.4170102582742536,val
Mexico,2024,0.0,1.6816076517105103,0.14200431815911366,5.0,6.565914916992187,0.45552306297637885,val
Moldova,1964,0.0,0.6206924676895141,0.16948130963684352,0.0,2.2302955627441405,0.8996627944026236,train
